NoMembre;NoCartier;NoAccorderie;NoPointService;NoTypeCommunication;NoOccupation;NoOrigine;NoSituationMaison;NoProvenance;NoRevenuFamilial;NoArrondissement;NoVille;NoRegion;CodePostal;NoTypeTel1;PosteTel2;NoTypeTel2;NoTypeTel3;AchatRegrouper;PretActif;PretRadier;PretPayer;EtatCompteCourriel;BottinTel;BottinCourriel;MembreActif;MembreConjoint;NoMembreConjoint;Sexe;AnneeNaissance;PrecisezOrigine;MembrePrinc;NomAccorderie;RecevoirCourrielGRP;PasCommunication;TransfereDe
8992;0;117;28;2;4;1;6;2;6;0;96020;9;G4Z 1H5;3;;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1971;\N;0;\N;0;0;\N
8993;0;111;21;1;6;1;2;5;6;0;34058;3;G0A 1S0;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1954;\N;0;\N;-1;0;\N
8991;0;109;19;2;5;2;2;2;2;9;43027;5;J1J 1J4;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1961;\N;0;\N;-1;0;\N
8999;0;111;21;1;4;1;6;2;5;0;34090;3;G0A 4L0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;0;0;\N
8986;0;92;5;2;7;1;2;5;5;0;36033;4;G9R 1E9;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1943;\N;0;\N;-1;0;\N
8984;13;119;31;2;1;1;1;1;1;70;3005;11;G4X 2G8;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1991;\N;0;\N;-1;0;\N
8980;0;92;5;1;2;1;4;1;3;0;51070;4;G0X 1N0;4;620;3;2;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
8981;11;119;31;2;4;1;6;6;6;70;3005;11;G4X 2W9;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
8982;20;119;31;2;6;1;5;6;6;71;3005;11;G4X 6L1;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1956;\N;0;\N;-1;0;\N
8983;14;119;31;2;6;1;2;5;5;70;3005;11;G4X 2N2;2;;4;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1947;\N;0;\N;-1;0;\N
8985;13;119;31;2;1;1;1;1;1;70;3005;11;G4X 2G8;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1985;\N;0;\N;-1;0;\N
8987;0;110;20;2;4;1;4;3;5;0;8053;1;G4W 3Y8;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1981;\N;0;\N;0;0;\N
8988;0;110;20;2;4;1;5;3;6;0;8053;1;G4W 1P4;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1974;\N;0;\N;0;0;\N
9007;0;108;18;2;4;3;5;3;1;0;10043;1;G5L 1C7;2;;3;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1987;\N;0;\N;-1;0;\N
8978;0;111;21;1;4;1;5;5;4;0;34078;3;G0A 3L0;4;;2;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1976;\N;0;\N;-1;0;\N
8979;18;119;31;2;4;2;3;2;2;71;3005;11;G4X 6R3;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1989;\N;0;\N;-1;0;\N
8989;0;118;30;3;6;1;2;2;4;0;7095;1;G0J 2Z0;2;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;1;0;\N;0;\N;0;0;\N
8990;0;118;30;2;6;1;5;2;6;0;7100;1;G0J 3A0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
8977;5;2;1;2;4;3;3;2;2;55;23027;3;G1N 0B7;1;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1994;\N;0;\N;-1;0;\N
8974;0;112;22;1;7;1;2;2;2;0;30050;5;G0Y 1J0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1958;\N;0;\N;-1;0;\N
8975;0;119;31;1;1;1;1;1;1;0;3005;11;G4X 6T7;1;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;1;0;\N;0;\N;-1;0;\N
8976;0;110;20;2;4;1;4;2;6;0;8053;1;G4W 3R6;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1965;\N;0;\N;0;0;\N
8971;0;2;1;2;6;1;5;5;6;0;20015;3;G0A 3W0;2;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;0;1951;\N;0;\N;0;0;\N
8972;0;2;1;2;4;1;2;2;4;0;20020;3;G0A 3Z0;1;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;0;0;\N;0;\N;0;0;\N
8973;0;2;1;1;4;1;6;2;5;0;20020;3;G0A 3Z0;2;;1;1;0;0;\N;\N;\N;0;0;0;0;0;0;1961;\N;0;\N;0;-1;\N
8967;0;114;24;2;4;3;5;2;6;45;66023;6;H2S 2N5;4;;1;4;0;0;\N;\N;\N;0;0;-1;0;0;0;1975;\N;-1;\N;-1;0;\N
8968;0;114;24;2;7;2;3;2;4;45;66023;6;H2S 2Z5;1;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;1;1963;\N;0;\N;0;0;\N
8970;0;118;30;2;6;1;2;4;6;0;7047;1;G5J 3S3;4;;2;1;-1;0;\N;\N;\N;-1;-1;0;0;0;1;1962;\N;0;\N;-1;0;\N
8969;17;119;31;1;1;1;1;1;1;70;3005;11;G4X 6R3;4;;1;1;-1;0;\N;\N;\N;-1;0;-1;0;0;0;1959;\N;0;\N;-1;0;\N
8965;0;111;21;1;6;1;2;4;3;0;34025;3;G3M 1L6;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1946;\N;0;\N;0;0;\N
8966;0;111;21;1;4;1;6;2;6;0;34097;3;G0A 3B0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1981;\N;0;\N;-1;0;\N
8962;0;2;1;1;7;1;5;2;3;60;23027;3;G1V 4L7;2;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;1;1983;\N;0;\N;0;0;\N
8963;0;110;20;2;5;1;4;4;3;0;8023;1;G0J 2K0;4;;1;1;-1;0;\N;\N;\N;0;0;-1;0;0;0;1976;\N;0;\N;-1;0;\N
8964;0;2;1;2;2;1;6;6;3;54;23027;3;G1G 2L5;4;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;1;1992;\N;0;\N;-1;0;\N
8952;0;88;8;2;6;1;5;6;5;42;66023;6;H2K 4J9;2;;4;1;-1;0;\N;\N;\N;0;-1;-1;0;0;1;1942;\N;0;\N;-1;0;\N
8953;0;92;5;2;5;1;4;6;2;0;36033;4;G9N 3T3;4;;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1973;\N;0;\N;-1;0;\N
8954;0;118;30;3;7;1;6;2;6;0;7095;1;G0J 2Z0;2;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;0;28;\N;0;\N;-1;0;\N
8955;0;2;1;2;2;3;2;2;2;60;23027;3;G1V 0A7;4;;1;1;0;0;\N;\N;\N;0;0;0;0;0;0;1987;\N;0;\N;0;0;\N
8956;0;86;4;2;6;1;2;3;3;68;37067;4;G9A 3E7;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1951;\N;0;\N;-1;0;\N
8957;0;2;1;2;6;1;5;3;6;58;23027;3;G2K 2C7;4;;4;4;0;0;\N;\N;\N;-1;-1;0;0;0;1;1960;\N;0;\N;-1;0;\N
8958;5;2;1;2;2;1;5;5;3;55;23027;3;G1K 4P6;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1994;\N;0;\N;0;0;\N
8959;0;2;1;2;7;1;5;2;3;60;23027;3;G1V 4L7;2;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;1;1983;\N;0;\N;0;0;\N
8960;0;86;4;2;5;1;2;4;3;68;37067;4;G9A 3Z6;2;;2;2;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1966;\N;0;\N;-1;0;\N
8961;0;86;4;2;7;1;5;2;1;66;37067;4;G8T 8S3;4;;1;1;-1;0;\N;\N;\N;-1;0;-1;0;0;0;1951;\N;0;\N;-1;0;\N
8948;0;109;19;2;6;1;2;2;3;0;44071;5;J0B 1L0;2;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;0;1951;\N;-1;\N;0;0;\N
8949;0;2;1;2;5;1;2;3;3;60;23027;3;G1V 4M4;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;1;1950;\N;0;\N;-1;0;\N
8950;0;109;19;2;6;1;2;2;3;0;44071;5;J0B 1L0;4;;4;1;-1;0;\N;\N;\N;-1;-1;-1;-1;8948;1;1959;\N;0;\N;-1;0;\N
8951;0;109;19;2;4;1;2;2;5;7;43027;5;J1H 1T6;4;;1;1;-1;0;\N;\N;\N;-1;-1;0;0;0;0;1978;\N;0;\N;-1;0;\N
8945;0;118;30;2;4;1;2;4;5;0;7100;1;G0J 3A0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1956;\N;0;\N;-1;0;\N
8946;0;118;30;2;6;1;6;4;6;0;7095;1;G0J 2Z0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;4;\N;0;\N;-1;0;\N
8947;0;118;30;1;7;1;6;2;6;0;7095;1;G0J 2Z0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;28;\N;0;\N;-1;0;\N
8934;0;92;5;1;4;1;6;4;5;0;36033;4;G9P 5K7;3;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1987;\N;0;\N;-1;0;\N
8944;20;119;31;2;6;1;2;4;4;71;3005;11;G4X 6L6;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1961;\N;0;\N;-1;0;\N
8937;11;119;31;2;6;1;5;5;5;70;3005;11;G4X 2Y6;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1958;\N;-1;\N;-1;0;\N
8940;9;2;1;2;5;1;2;6;3;55;23027;3;G1J 3S4;4;;2;1;0;0;\N;\N;\N;0;0;0;0;0;0;1965;\N;0;\N;-1;0;\N
8941;0;2;1;2;7;1;5;2;6;0;22035;3;G3C 2N6;4;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;1;1956;\N;0;\N;0;0;\N
8942;0;2;1;2;4;1;6;2;6;0;22035;3;G3C 2N6;2;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1966;\N;0;\N;0;0;\N
8943;0;2;1;2;7;1;2;5;5;0;20030;3;G0A 4C0;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;1;1954;\N;0;\N;0;0;\N
8935;20;119;31;2;3;1;2;5;5;71;3005;11;G4X 6L2;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1956;\N;0;\N;-1;0;\N
8936;0;118;30;1;6;1;5;3;1;0;7047;1;G5J 3R5;2;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1952;\N;0;\N;0;0;\N
8933;0;110;20;2;4;1;2;4;4;0;8053;1;G4W 4A6;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1962;\N;0;\N;0;0;\N
8926;0;109;19;2;6;1;2;2;1;9;43027;5;J1L 2E8;2;;1;1;-1;0;\N;\N;\N;0;-1;0;0;0;0;1953;\N;0;\N;-1;0;\N
8927;0;109;19;2;1;3;3;2;2;6;43027;5;J1M 2A2;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1980;\N;0;\N;-1;0;\N
8928;0;109;19;2;4;3;2;2;3;7;43027;5;J1H 1V6;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1980;\N;0;\N;0;0;\N
8929;0;109;19;2;5;1;2;3;3;7;43027;5;J1H 4X4;2;;1;1;-1;0;\N;\N;\N;0;-1;0;0;0;0;1959;\N;0;\N;-1;0;\N
8930;0;2;1;3;2;1;2;2;2;56;23027;3;G3J 1L8;2;;4;1;0;0;\N;\N;\N;-1;0;0;0;0;1;1994;\N;0;\N;0;0;\N
8931;0;118;30;2;6;1;2;4;4;0;10043;1;G5L 6K9;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1953;\N;0;\N;-1;0;\N
8932;20;119;31;2;6;1;5;6;6;71;3005;11;G4X 6L1;2;;4;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1951;\N;0;\N;-1;0;\N
8938;0;88;8;3;1;1;1;2;1;43;66023;6;H1L 1Z5;4;;1;1;-1;0;\N;\N;\N;-1;0;0;0;0;0;0;\N;0;\N;0;0;\N
8939;0;88;8;2;7;1;5;2;6;43;66023;6;H1W 2R9;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1982;\N;0;\N;-1;0;\N
8925;0;118;30;2;4;1;4;6;3;0;7047;1;G5J 3L8;2;;3;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1979;\N;0;\N;-1;0;\N
8923;0;115;25;3;6;1;2;2;5;15;58227;16;J4H 2V4;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;0;\N;0;\N;0;0;\N
8924;14;119;31;1;2;1;3;4;4;70;3005;11;G4X 2A1;4;;1;1;0;-1;\N;\N;\N;-1;0;-1;0;0;1;19861211;\N;0;\N;-1;0;\N
8918;0;118;30;2;4;1;2;3;4;0;7040;1;G0J 2P0;2;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1962;\N;0;\N;-1;0;\N
8919;0;118;30;2;4;1;5;2;5;0;7025;1;G0J 1A0;4;;1;1;0;0;\N;\N;\N;0;0;0;0;0;0;1987;\N;0;\N;-1;0;\N
8916;0;110;20;2;6;1;5;4;5;0;8053;1;G4W 0G1;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1937;\N;0;\N;0;0;\N
8917;0;88;8;2;2;1;2;5;3;43;66023;6;H7K 1K9;4;;1;1;-1;0;\N;\N;\N;0;-1;0;0;0;0;1974;\N;0;\N;-1;0;\N
8911;3;2;1;3;4;1;2;2;4;55;23027;3;G1K 1W8;4;;1;1;-1;0;\N;\N;\N;-1;0;0;0;0;1;1965;\N;0;\N;0;0;\N
8912;6;2;1;1;2;1;2;2;2;55;23027;3;G1R 4B2;2;;1;1;-1;0;\N;\N;\N;-1;-1;0;0;0;0;1960;\N;0;\N;-1;-1;\N
8913;0;109;19;2;4;1;6;2;4;7;43027;5;J1H 6H9;2;;4;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1987;\N;0;\N;-1;0;\N
8914;0;117;28;1;5;3;4;6;3;0;96020;9;G4Z 2E6;2;;1;1;-1;0;\N;\N;\N;-1;0;-1;0;0;0;1977;\N;0;\N;0;0;\N
8915;0;118;30;2;6;1;5;6;1;0;7047;1;G5J 2R8;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1949;\N;0;\N;-1;0;\N
8995;0;104;14;1;2;1;3;6;3;41;66023;6;H4C 2K1;4;;1;1;-1;0;\N;\N;\N;0;0;-1;0;0;0;1997;\N;0;\N;0;0;\N
8906;0;118;30;2;4;1;6;6;5;0;7018;1;G0J 1J0;4;;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1971;\N;0;\N;-1;0;\N
8907;0;117;28;2;6;1;6;3;5;0;96020;9;G4Z 1M2;2;;4;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1957;\N;-1;\N;-1;0;\N
8908;0;117;28;2;6;1;6;1;5;0;96020;9;G4Z 1M2;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;-1;8907;0;1965;\N;0;\N;0;0;\N
8909;18;119;31;1;4;1;3;6;6;71;3005;11;G4X 6R3;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;-1;\N
8910;0;110;20;2;7;1;6;2;6;0;8080;1;G0J 1C0;2;;4;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1953;\N;0;\N;0;0;\N
8920;0;114;24;2;5;1;5;1;1;45;66023;6;H2M 1K9;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1991;\N;0;\N;-1;0;2
8921;0;104;14;2;5;3;3;2;3;37;66023;6;H1H 3S4;2;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;1978;\N;0;\N;-1;0;\N
8922;0;104;14;2;4;3;6;2;6;37;66023;6;H1G 3W2;4;;1;1;-1;0;\N;\N;\N;-1;-1;0;0;0;0;1983;\N;0;\N;-1;0;\N
8899;0;118;30;2;4;1;3;2;5;0;7018;1;G0J 1J0;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
8900;0;118;30;2;7;1;5;3;5;0;7047;1;G5J 2N5;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;14;\N;0;\N;-1;0;\N
8901;0;115;25;2;1;1;2;2;3;15;58227;16;J4J 3K5;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1976;\N;0;\N;-1;0;\N
8902;0;115;25;4;7;1;2;3;3;0;67045;16;J6R 1E1;2;;4;1;0;0;\N;\N;\N;0;0;0;0;0;0;1980;\N;0;\N;0;-1;\N
8903;0;115;25;2;4;3;4;1;3;15;58227;16;J4H 3R7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1976;\N;0;\N;-1;0;\N
8904;0;115;25;2;4;1;4;2;3;0;67020;16;J5R 1R7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1972;\N;0;\N;-1;0;\N
8905;25;119;31;2;1;1;1;1;1;72;3005;11;A1A 1A1;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;1;0;\N;0;\N;0;0;\N
8895;0;88;8;2;7;1;6;2;4;43;66023;6;H2L 5E7;4;;2;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1968;\N;0;\N;-1;0;\N
8896;2;2;1;2;2;3;3;3;2;55;23027;3;G1R 1N8;1;;1;1;-1;0;\N;\N;\N;-1;-1;0;0;0;0;1993;\N;0;\N;-1;0;\N
8897;0;114;24;1;2;1;3;4;2;45;66023;6;H2S 2E5;2;;4;1;0;0;\N;\N;\N;-1;0;0;0;0;0;1977;\N;0;\N;0;-1;\N
8898;2;2;1;2;2;3;3;3;2;55;23027;3;G1R 1N8;1;;1;1;-1;0;\N;\N;\N;-1;-1;0;0;0;0;1993;\N;0;\N;-1;0;\N
8893;0;118;30;2;4;1;5;2;5;0;7047;1;G5J 1X2;4;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;1;1987;\N;0;\N;-1;0;\N
8894;0;118;30;2;4;1;3;2;3;0;7047;1;G5J 2N8;2;;1;2;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1991;\N;0;\N;-1;0;\N
8892;0;117;28;2;4;1;5;3;5;0;96040;9;G0H 1S0;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1974;\N;0;\N;-1;0;\N
8881;0;114;24;2;7;3;5;3;6;46;66023;6;H2A 2B6;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1971;\N;-1;\N;-1;0;\N
8882;0;114;24;2;5;1;5;2;5;45;66023;6;H2A 2B6;4;;1;1;-1;0;\N;\N;\N;0;-1;-1;-1;8881;0;1978;\N;0;\N;-1;0;\N
8883;0;114;24;2;4;1;2;2;5;42;66023;6;H2J 1S5;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1975;\N;0;\N;-1;0;\N
8884;0;114;24;2;5;1;2;2;3;46;66023;6;H2E 2R2;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1971;\N;0;\N;-1;0;\N
8885;0;114;24;2;1;1;1;1;1;45;66023;6;H1X 2X8;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1950;\N;0;\N;0;0;\N
8886;0;114;24;2;2;3;1;2;2;42;66023;6;H2K 3P6;2;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1960;\N;0;\N;-1;0;\N
8887;0;114;24;2;4;1;6;2;6;46;66023;6;H2R 2R4;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1981;\N;0;\N;0;0;\N
8888;0;114;24;2;4;3;4;2;5;42;66023;6;H2K 3P6;2;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1969;\N;0;\N;-1;0;\N
8890;0;92;5;2;5;1;2;4;4;68;37067;4;G9A 1L6;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1942;\N;0;\N;-1;0;\N
8891;0;118;30;2;5;1;6;1;1;0;7047;1;G5J 2W8;2;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;0;1969;\N;0;\N;-1;0;\N
8875;0;109;19;2;6;1;2;2;5;9;43027;5;J1J 3V8;2;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1946;\N;0;\N;-1;0;\N
8876;0;109;19;2;4;1;2;2;5;7;43027;5;J1H 5X4;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1977;\N;0;\N;-1;0;\N
8877;0;109;19;2;5;1;2;2;4;5;43027;5;J1E 2K9;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;1;1986;\N;0;\N;-1;0;\N
8878;9;2;1;2;4;1;4;1;3;55;23027;3;G1J 1X6;4;;2;1;0;0;\N;\N;\N;0;0;0;0;0;0;1978;\N;0;\N;-1;0;\N
8879;0;109;19;1;2;3;6;6;2;5;43027;5;J1E 1J6;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1980;\N;0;\N;0;0;\N
8880;0;119;31;0;0;0;0;0;0;0;3005;11;G4X 6L4;\N;\N;\N;\N;\N;\N;\N;\N;\N;-1;-1;-1;0;0;\N;\N;\N;0;du Grand Gaspé;-1;\N;\N
8889;0;88;8;2;4;1;2;2;4;43;66023;6;M2K 1P1;4;;2;1;0;0;\N;\N;\N;-1;-1;0;0;0;1;1979;\N;0;\N;-1;0;\N
8872;0;118;30;2;7;1;4;2;3;0;7080;1;G0J 3L0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;22;\N;0;\N;-1;0;\N
8874;0;111;21;1;4;1;2;5;6;0;34058;3;G0A 1S0;2;;3;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1967;\N;0;\N;-1;0;\N
8870;0;2;1;2;7;1;6;6;5;0;20020;3;G0A 3Z0;4;;1;1;-1;0;\N;\N;\N;0;-1;-1;0;0;0;1980;\N;0;\N;0;0;\N
8869;0;88;8;2;1;1;3;1;1;42;66023;6;G1K 3E4;1;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;0;1977;\N;0;\N;0;0;2
8861;0;118;30;2;6;1;6;2;4;0;7085;1;G0J 3K0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1957;\N;0;\N;-1;0;\N
8862;0;2;1;1;6;1;5;6;6;0;22040;3;G3B 0T7;4;;1;1;-1;0;\N;\N;\N;0;0;-1;0;0;0;1955;\N;0;\N;0;0;\N
8863;10;2;1;2;5;1;3;6;2;55;23027;3;G1L 1K1;2;;1;1;0;0;\N;\N;\N;0;0;0;0;0;1;1981;\N;0;\N;0;0;\N
8864;5;2;1;1;4;1;2;2;6;55;23027;3;G1N 0A4;4;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;1;1979;\N;0;\N;0;0;\N
8865;0;2;1;1;4;1;5;4;4;53;23027;3;G1C 3M3;4;;2;3;0;0;\N;\N;\N;0;0;-1;0;0;0;1989;\N;0;\N;0;0;\N
8866;7;2;1;1;4;1;2;6;5;55;23027;3;G1J 3Y4;4;;1;1;-1;0;\N;\N;\N;-1;-1;0;0;0;1;1965;\N;0;\N;-1;0;\N
8867;0;2;1;1;2;3;1;2;1;53;23027;3;G1K 6J7;4;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;0;1983;\N;0;\N;0;0;\N
8868;0;2;1;1;7;1;6;2;4;53;23027;3;G1C 3M3;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;1;1983;\N;0;\N;0;0;\N
8871;2;2;1;1;2;1;3;2;3;55;23027;3;G1R 3C5;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1995;\N;0;\N;0;0;\N
8860;0;118;30;2;4;1;6;5;4;0;7018;1;G0J 1J0;2;;3;1;0;0;\N;\N;\N;-1;-1;-1;-1;8859;1;9;\N;0;\N;-1;0;\N
8873;0;111;21;1;6;1;2;2;5;0;34078;3;G0A 3L0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1948;\N;0;\N;-1;0;\N
8849;0;115;25;2;5;3;6;2;2;15;58227;16;J4L 3M4;2;;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1973;\N;0;\N;-1;0;\N
8850;0;115;25;2;5;1;6;2;3;20;58227;16;J3Y 2X3;4;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;0;1986;\N;0;\N;-1;0;\N
8853;0;86;4;2;4;1;5;2;4;68;37067;4;G8Y 5E9;4;;1;1;-1;0;\N;\N;\N;0;-1;-1;0;0;0;1993;\N;0;\N;0;0;\N
8854;0;86;4;2;6;1;5;2;5;69;37067;4;G9A 6R3;2;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1953;\N;0;\N;-1;0;\N
8855;0;86;4;2;1;1;1;1;1;68;37067;4;G8Z 3E3;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;0;\N;0;\N;-1;0;\N
8856;0;86;4;2;6;1;2;1;1;68;37067;4;G9A 1Y4;2;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;1951;\N;0;\N;-1;0;\N
8857;0;115;25;2;5;1;6;2;3;20;58227;16;J3Y 2X3;4;;4;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1986;\N;0;\N;-1;0;\N
8858;0;118;30;2;1;2;6;2;4;0;7047;1;G5J 2N8;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1965;\N;0;\N;-1;0;\N
8859;0;118;30;2;3;1;6;6;3;0;7018;1;G0J 1J0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;28;\N;-1;\N;-1;0;\N
8851;0;88;8;2;4;3;4;2;3;33;66023;6;H4E 3S7;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1973;\N;0;\N;0;0;\N
8852;0;88;8;2;5;3;6;2;3;43;66023;6;H1V 3V2;2;;4;1;-1;0;\N;\N;\N;0;-1;-1;0;0;1;1968;\N;0;\N;0;0;\N
8847;0;2;1;2;7;3;3;2;3;58;23027;3;G1M 1V8;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;1973;\N;0;\N;-1;0;\N
8848;0;92;5;2;6;1;6;4;5;0;36033;4;G9T 5K5;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1948;\N;-1;\N;-1;0;\N
8845;0;86;4;3;5;3;6;6;1;68;37067;4;G8Y 5P2;4;;2;1;-1;0;\N;\N;\N;-1;0;-1;0;0;0;1987;\N;0;\N;0;0;\N
8846;0;2;1;2;6;1;2;6;4;0;20030;3;G0A 4C0;2;;1;1;-1;0;\N;\N;\N;0;-1;0;0;0;0;1951;\N;0;\N;-1;0;\N
8840;0;114;24;2;7;1;4;2;3;46;66023;6;H3N 2J4;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1962;\N;0;\N;-1;0;\N
