"NoDemandeService";"NoMembre";"NoAccorderie";"TitreDemande";"Description";"Approuve";"Supprimer";"Transmit";"DateDebut";"DateFin"
"720";"3589";"2";"Faire un trou dans un mur";"Agrandir une porte de garde-robe simple pour une double.";"0";"-1";"0";"2012-09-29";"2012-12-29"
"721";"3589";"2";"Decaper merbles.";"3 petites tables, paterre.";"-1";"-1";"0";"2012-09-29";"2012-12-29"
"722";"880";"2";"Accompagnateur voile";"Besoin d'un accompagnateur voile";"-1";"-1";"0";"2012-10-02";"2012-10-01"
"723";"1867";"2";"Cherche promeneur pour gros chiens";"Vous habitez dans les environs du quartier Limoilou, vous aimez promener les gros chiens. Besoin de vous. merci";"-1";"-1";"0";"2012-10-20";"2012-10-21"
"724";"389";"2";"Fabrication d&#8217;un déshydrateur maison";"Besoin de techniques et de conseils pour sa fabrication
Merci!
";"-1";"-1";"0";"2012-10-02";"2012-10-26"
"725";"2774";"104";"Ménage ""lourd""";"Je quitte mon petit 3 1/2 et j'ai besoin d'aide pour le décrotter: lavage murs, planchers, tiroirs, armoires, fenêtres.";"-1";"0";"0";"2012-10-10";"2012-10-30"
"726";"3039";"2";"Initiation Acomba, logiciel comptable";"Vous avez Acomba, j aurai besoin de me faniliariser avec>Merci";"-1";"-1";"0";"2012-10-06";"2012-10-31"
"727";"3068";"88";"Apprentissage de l'harmonica";"J'aimerais apprendre à jouer de l'harmonica.";"-1";"0";"0";"2012-10-07";"2013-10-07"
"728";"2982";"88";"cherche co-voiturage pour le vendredi 19 octobre pour être à Ormstown";"co-voiturage pour le vendredi 19 octobre pour être à Ormstown vers les cours de(midi. Un perdium de 10 cents/km vous sera remis plus une visite gratuite à la Coop jardins de la résistance.  ";"-1";"0";"0";"2012-10-09";"2012-10-19"
"729";"2319";"104";"demenagement de meubles";"je besoin d'aide pour changer certains meubles de place si possible le 2012-10-14 ou le 2012-10-19 merci";"-1";"0";"0";"2012-10-12";"2012-10-21"
"730";"874";"104";"Pratique de conduite - voiture";"Je cherche une personne avec voiture qui pourra me permettre de pratiquer ma conduite. (date de l'examen décembre)";"-1";"0";"0";"2012-10-16";"2012-12-16"
"731";"3654";"114";"Réparation de vélo";"vitesses ne fonctionnent pas.
Vélo au local de l'accorderie lundi au vendredi.";"0";"-1";"0";"2012-10-23";"2012-11-15"
"732";"1950";"88";"aide pour ménage / pers. blessée";"J'ai besoin d'aide pour faire le ménage d'un petit app. passer aspirateur et laver planchers...";"-1";"-1";"0";"2012-10-27";"2012-12-01"
"733";"2842";"88";"aide au devoir";"
aide pour devoir en francais pour un enfant de 9 ans, nouvellement arrivé au Québec";"-1";"-1";"0";"2012-10-29";"2012-11-29"
"734";"3242";"88";"réparation de cafethière expresso";"la petite pompe de ma machine ne fournie plus la demande . quelqu'un a-t-il l'habilité de la réparer ?";"-1";"-1";"0";"2012-10-29";"2012-12-29"
"735";"3242";"88";"le renvoie du bain ";"Le renvoie commence à s'obstuer , est-ce un de vous aurais un fichoir assez long ?";"-1";"-1";"0";"2012-10-29";"2012-12-29"
"736";"3242";"88";"invitation à afficher vos besoin ";"Oui pour que l'ACCORDERIE FONCTIONNE , IL FAUT QUE CHACUN PRENNE L'habitude d,AFFICHER SES DEMANDES .ALLEZ À VOS ORDIS !";"0";"-1";"0";"2012-10-29";"2012-12-31"
"737";"3597";"88";"Cours de conduite";"L'accompagnateur de l'apprenti conducteur doit être titulaire d'un permis de voiture de minimum 2ans et avoir une voiture a disposition car je n'en ai pas.";"-1";"-1";"0";"2012-10-30";"2012-12-31"
"738";"2805";"2";"Initiation harmonica";"Recherche Accordeur pour apprendre à jouer de l'harmonica";"-1";"-1";"0";"2012-10-31";"2012-11-30"
"739";"3674";"88";" urgent, webmestre";"Pour changer Regards dotclear en wordpress. Me contacter à cbaccord@yahoo.ca ";"-1";"-1";"0";"2012-11-02";"2012-12-10"
"740";"3653";"88";"Recherche chauffeur vers Longueuil";"J'aurais besoin d'aller à Longueuil (J4L 1N4) pour récupérer du materiel informatique.
Trajet Aller-retour.";"-1";"-1";"0";"2012-11-04";"2012-12-04"
"741";"3617";"2";"Réparation d'imprimante";"Problème de connexion entre l'imprimante et l'ordinateur.
Merci pour votre aide.";"-1";"-1";"0";"2012-11-05";"2012-11-24"
"742";"2231";"86";"réparation d'appareils éléctroniques";"séchoir des cheveux, chauffe-lit, etc.";"-1";"-1";"0";"2012-11-05";"2013-11-05"
"743";"2231";"86";"éléctricité de voiture";"entretien des petits détails";"-1";"-1";"0";"2012-11-08";"2013-11-08"
"744";"2231";"86";"mécanique de base pour voiture";"entretien générale";"-1";"-1";"0";"2012-11-08";"2013-11-08"
"745";"3563";"92";"Garde d'enfant";"Je cherche une gardienne pour ma fille de 22 mois pour la soirée du 8 décembre. (à partir ~ 17h) Expérience requise. ";"-1";"-1";"0";"2012-11-27";"2012-12-07"
"746";"2470";"2";"Réparation sécheuse ";"Bonjour!  Recherche personne capable d'identifier le problème de ma sécheuse à linge. (Pas besoin de réparer). Merci!";"-1";"-1";"0";"2012-11-20";"2012-12-20"
"747";"3713";"92";"cherche partenaire pour jouer aux échecs";"cherche partenaire pour jouer aux échecs ";"-1";"-1";"0";"2012-11-21";"2012-12-21"
"748";"3713";"92";"cours de perfectionnement aux échecs";"cherche un joueur expérimenté pour me faire progresser";"-1";"-1";"0";"2012-11-21";"2012-12-21"
"749";"3653";"88";"Déménagement urgent!!!";"Je déménage dimanche et j'aurais besoin d'au moins une personne, dans l'idéal deux, pour m'aider à mettre une laveuse et une sécheuse dans le camion. J'habite au 2eme. J'aurais un diable mais l'escalier et pas très praticable 4383884711";"-1";"0";"0";"2012-11-23";"2012-11-26"
"750";"2076";"104";"je veux un bebe chien";"un chien moyen";"-1";"-1";"0";"2012-11-23";"2012-11-22"
"751";"2076";"104";"reparation de machine industriel plain";"je crains que le timing soit dérègler";"-1";"0";"0";"2012-11-23";"2013-11-23"
"752";"2185";"92";"aide pour déménagement";"besoin d'aide pour un petit déménagement samedi ou dimanche (1 ou 2 décembre 2012)
Petit:4 électro, 1 lit, 1 commode, 1 meuble tv, 2 causeuses et 1 machine à coudre    


";"-1";"-1";"0";"2012-11-24";"2012-12-02"
"753";"3164";"92";"aide pour petit déménagement";"besoin d'aide pour un petit déménagement samedi ou dimanche (1 ou 2 décembre 2012)
Petit:4 électro, 1 lit, 1 commode, 1 meuble tv, 2 causeuses et 1 machine à coudre ";"-1";"-1";"0";"2012-11-27";"2012-12-03"
"754";"2231";"86";"Nettoyage de filtres d'air";"pour appareils purificateurs d'air.";"-1";"-1";"0";"2012-11-27";"2013-11-27"
"755";"3654";"114";"entretien ménager";"ménage 1 fois semaine
balayer 
laver les plancher";"0";"-1";"0";"2012-11-30";"2012-12-30"
"756";"3654";"114";"Entretien ménager";"Epoustage et lavage de plancher.  Faire le mémage une fois par semaine. merçi";"0";"-1";"0";"2012-11-30";"2012-12-30"
"757";"3654";"114";"Entretien  ménager";"Faire le menage une fois par semaine.(époustage laver le plancher ect.)";"0";"-1";"0";"2012-11-30";"2012-12-30"
"758";"2014";"88";"Besoin d'aide";"Besoin d'aide générale, problèmes d'organisation, préparation de repas, lessive, etc. Je suis à Longueuil!";"-1";"-1";"0";"2012-12-04";"2012-12-21"
"759";"2859";"2";"réparation de lave-vesselle";"J'ai parti mon lave-vesselle et quand il a fini de laver il reste de l'eau dans le fond je voudrais avoir de l'aide";"0";"-1";"0";"2013-01-17";"2013-02-28"
"760";"3616";"108";"Recherche un Père Noel pour le 25 décembre, environ 8h00 AM";"Salut, je cherche quelqu'un qui serait prêt à venir rôder chez nous en Père Noel le 25 décembre prochain, au matin. J'ai le costume, suffirait de venir faire des coucous dans la fenêtre et de se sauver en laissant des traces! ";"-1";"-1";"0";"2012-12-10";"2012-12-26"
"761";"2470";"2";"Transport pour fauteuil lay-z-boy";"URGENT avant Noël! J'aurais besoin d'aide pour transporter un fauteuil du magasin à chez moi. Merci!";"-1";"-1";"0";"2012-12-10";"2013-01-10"
"762";"157";"2";"Aide réparation sécheuse à linge";"Besoin d&#8217;aide pour identifier le problème de la sécheuse à linge. 
";"-1";"-1";"0";"2012-12-11";"2013-02-21"
"784";"176";"2";"Aide déneigement";"Besoin d'aide pour du déneigement dans St-Jean-Baptiste 
Contactez moi à f.duchesneau738@sympatico.ca";"-1";"-1";"0";"2013-01-21";"2013-02-20"
"763";"3744";"2";"coiffeuse";"jai besoin dune styliste pour colorer mes cheveux en mauve et dune coupe de cheveux";"0";"-1";"0";"2012-12-11";"2012-12-19"
"764";"3744";"2";"massage";"jai besoin dun massage je sai quil a une offre mais ca ne saplique pas a moi et je nai pas eu de nouvelle merci";"0";"-1";"0";"2012-12-11";"2012-12-12"
"765";"3336";"88";"transport ";"Urgent personne avec auto pour transporter ma commande d'épicerie (panier de Noël) le 21 déc. Super C entre 11het13h ";"-1";"0";"0";"2012-12-18";"2012-12-23"
"766";"3336";"88";"transport";"Urgent transport personne pour apporter épicerie panier Noël le 21 déc. entre 11h & 13h du Super C à PAT très important ";"-1";"0";"0";"2012-12-18";"2012-12-29"
"767";"2480";"104";"bas de pantalons";"Je suis à la recherche d'une personne pouvant faire deux bords de jeans pour enfant.
Merci";"-1";"-1";"0";"2012-12-16";"2013-06-16"
"768";"964";"2";"Réparation en couture.";"J&#8217;ai besoin d&#8217;un remplacement de fermeture éclair sur un sac à dos.";"0";"-1";"0";"2013-06-14";"2013-06-26"
"769";"3426";"88";"garde d'animaux";"Mon chat Faya, qui est très câlin et aime aller se balader la journée et reviens le soir.";"0";"-1";"0";"2013-07-04";"2013-08-19"
"770";"3605";"114";"Réparation d'un lave-vaisselle";"Est-ce qu'un membre saurait réparer un lave-vaisselle( bris, fuite d'eau)? Vous pouvez me contacter 537-6703.Merci.";"-1";"-1";"0";"2013-01-03";"2013-03-03"
"771";"2231";"86";"Transport ";"Shawinigan-Shawinigan-Sud
Shawinigan-Grand-Mère";"-1";"-1";"0";"2013-01-12";"2013-01-19"
"772";"2842";"88";"home standging";"
idée de décoration etc";"-1";"-1";"0";"2013-01-10";"2013-06-10"
"773";"2842";"88";"home stanging";"aide a la décoration etc";"-1";"-1";"0";"2013-01-10";"2013-06-01"
"774";"3180";"88";"tressage de cheveux";"Je recherche une personne maitrisant les tresses africaines. Pour me faire tresser les cheveu.";"-1";"-1";"0";"2013-07-29";"2014-04-28"
"788";"2859";"2";"Réparation de lave-vaisselle";"A mon dernier lavage il est resté de l'eau dans le fond de mon lave-vaisselle. Besoin d'aide pour régler ce problème d'évacuation d'eau. Merci!";"-1";"-1";"0";"2013-01-25";"2013-05-25"
"775";"2842";"88";"home staging";"idées de décoration intérieur";"0";"-1";"0";"2013-01-11";"2013-07-11"
"776";"2842";"88";"home staging";"idées de décoration intérieur";"0";"-1";"0";"2013-01-11";"2013-07-11"
"777";"2842";"88";"home staging";"idées de décoration intérieur";"0";"-1";"0";"2013-01-11";"2013-07-11"
"778";"3426";"88";"Garde d'animaux";"Faya mon jeune chat aimerait passez ses vacances d'été durant 2 semaines de mi-juillet à Août chez vous à domicile pendant que sa maitresse sera en Gaspesie. Evidement il apportera tout le necessaire avec lui.";"-1";"-1";"0";"2013-07-17";"2013-08-01"
"779";"3426";"88";"garde d'animaux";"Faya mon jeune chat aimerais passer ses vacances d'été de 1moi et demi chez vous, il apportera tout le nécessaire. :)";"-1";"-1";"0";"2013-01-14";"2013-01-14"
"780";"1474";"2";"professeur de danse";"Moi et mon cjt aimerions danser ensemble de la danse latine, sociale ou autre. Chez vous ou chez nous";"-1";"-1";"0";"2013-01-12";"2013-03-10"
"781";"2842";"88";"Home staging";"aide pour idées de décorations.";"-1";"-1";"0";"2013-01-13";"2013-03-01"
"782";"3423";"88";"Conversation espagnole";"Converser avec une personne qui parle très bien afin de perfectionner cette lanque.";"-1";"0";"0";"2013-01-15";"2014-01-15"
"783";"3658";"104";"carte de residence et regroupement familiale";"cherche de l'aide pour faire mon dossier de demande de residence. Verifier si j'ai rempli correctement le CSQ. Merci. ";"-1";"0";"0";"2013-01-16";"2013-12-16"
"785";"1321";"2";"Réparation d&#8217;un poêle-cuisinière";"Besoin d&#8217;aide pour des ronds de poêle qui ne fonctionnent plus! Merci de votre aide!
 ";"-1";"-1";"0";"2013-01-21";"2013-02-21"
"786";"3744";"2";"Réparation d&#8217;un pot d&#8217;échappement de voiture";"Conseil et si possible aide pour réparer un pot d&#8217;échappement percé. Merci de votre aide!
";"-1";"-1";"0";"2013-01-21";"2013-04-30"
"787";"3507";"114";"Transférer diapo sur CD";"J'ai plusieurs diapo que j'aimerais mettre sur CD";"-1";"0";"0";"2013-01-24";"2013-02-21"
"789";"3135";"88";"Informatique - résolu !!!";"bonjour
je recherche q.qu'un qui est capable d'installer mon multi-fonction(4)sur mon ordi. ";"-1";"0";"0";"2013-01-25";"2013-02-25"
"790";"2805";"2";"Réalisation court métrage";"Besoin de comédiens et réalisateurs pour court métrage";"-1";"-1";"0";"2013-01-28";"2013-01-28"
"791";"3423";"88";"Initiation à l'infographie";"Connaître les logiciels illustrator,photoshop etc...";"-1";"0";"0";"2013-02-02";"2014-02-02"
"792";"3423";"88";"Conception de sites web (Joomla)";"Créer des sites web avec la plate-forme joomla.";"-1";"-1";"0";"2013-02-02";"2014-02-02"
"793";"2945";"114";"Aide peinture intérieure";"Je cherche des personnes intéressées à m'aider à peinturer mon 1 et demi, à deux minutes du métro Beaubien.";"-1";"-1";"0";"2013-02-04";"2013-02-28"
"794";"2912";"114";"réparation d'une porte de cuisinière";"J,ai une cuisinière VIKING et la porte reste entre-ouverte.";"0";"-1";"0";"2013-02-05";"2013-02-28"
"795";"2912";"114";"réparation d'une porte de cuisinière";"J'ai une cuisinière VIKING ET
la porte reste entre-ouverte";"-1";"0";"0";"2013-02-05";"2013-02-28"
"796";"3861";"104";"FORMATION LOGICIEL GESTIONNAIRE";"J'aimerai me former sur ce logiciel si quelqu'un le possède et veut bien me montrer son fonctionnement";"-1";"0";"0";"2013-02-07";"2013-02-28"
"797";"2945";"114";"Montage vidéo pour une démo";"Je cherche un monteur ou une monteuse image et son pour faire le montage d'une démo temporaire de comédienne. Merci!";"-1";"0";"0";"2013-02-07";"2013-03-29"
"798";"3519";"2";"Pâtinage";"Initiation au pâtinage";"0";"-1";"0";"2013-02-12";"2013-03-31"
"799";"3866";"108";"menuiserie";"Au printemps, j'aurai besoins d'aide pour refaire ma remise (environ 8pi X 12pi) dans ma cour!";"-1";"0";"0";"2013-05-01";"2013-06-20"
"800";"3800";"2";"Réparation d'imprimante";"Une imprimante de marque Samsung défectueuse pour une raison inconnue";"-1";"-1";"0";"2013-02-14";"2013-03-14"
"801";"3847";"88";"Réparation luminaire";"Mon luminaire de cuisine a des pièces lousses alors mes ampoules sont parfois allumées, parfois éteintes.";"0";"-1";"0";"2013-02-18";"2013-05-25"
"802";"3847";"88";"Réparation luminaire";"Mon luminaire de cuisine a des pièces qui sont lousses alors mes ampoules sont parfois éteintes, parfois ouvertes";"0";"-1";"0";"2013-02-18";"2013-05-25"
"803";"3537";"88";"BESOIN D'UN PHYSIOTHÉRAPEUTE";"PROBLÈEME DE SPATICITÉ";"-1";"-1";"0";"2013-02-25";"2013-02-25"
"804";"3537";"88";"Besoin physiothérapeute";"sclérose en plaques - problème de spaticité";"-1";"0";"0";"2013-02-24";"2013-06-01"
"805";"3877";"2";"Coiffeuse africaine";"Je recherche une personne qui pourrait tresser ma fille de 5 ans. Merci";"-1";"-1";"0";"2013-02-27";"2013-07-27"
"806";"3877";"2";"Musique assistée par ordinateur";"J'ai fait un peu de ""bidouillage"" avec Audacity et je voudrais pouvoir composer des morceaux seule par ordinateur ou synthé, tout autre appareil que pourrait me conseiller une personne qui s'y connaît. Merci";"0";"-1";"0";"2013-03-01";"2014-03-01"
"807";"3877";"2";"Accompagnement ski de fond";"Nous sommes 2 adultes et 2 enfants de 5 et 7 ans et on cherche des gens qui pourraient nous aider à se trouver des skis de fond pas trop cher et nous emmener skier sur les plaines. Merci!";"-1";"-1";"0";"2013-03-01";"2013-05-06"
"808";"3721";"104";"Couturière";"Ajustement de jeggings. Il s'agirait de modifier la taille et poser un élastique.";"-1";"-1";"0";"2013-03-04";"2013-03-16"
"809";"3877";"2";"Frappe document ";"Je cherche une personne qui tape vite pour m'aider à recopier un document manuscrit.";"0";"-1";"0";"2013-03-04";"2014-03-04"
"810";"3816";"2";"Pratique de conduite automobile (classe 5)";"Pour un échange d'un permis (venant d'un autre pays), j'ai besoin de pratiquer pour m'adapter à la conduite du Québec.";"0";"-1";"0";"2013-03-04";"2013-04-30"
"811";"3877";"2";"Frappe documents";"Je cherche quelqu'un pour m'aider à taper un document manuscrit d'une centaine de pages. ";"0";"-1";"0";"2013-03-06";"2014-02-05"
"812";"2630";"88";"Initiation à la salsa";"Bonjour,
J'aimerais apprendre les pas de base / faire une initiation à la salsa. Je suis sur MTL";"-1";"0";"0";"2013-03-07";"2013-10-07"
"813";"1950";"88";"déménagement de 3 boîtes ";"Je déménage ma mère, j'ai besoin d'une personne qui possède une voiture et qui viendrait me chercher à la résidence de ma mère située sur le boul. Gouin Est, près de Langelier... et me ramènerait chez moi sur la rue Viau près d'Ontario... ";"-1";"-1";"0";"2014-06-07";"2014-06-14"
"814";"1950";"88";"expert en peinture";"J'ai besoin d'aide pour peinturer 2 plafonds...
C'est vraiment impossible pour moi de le faire ayant des problèmes musculaires importants... ";"-1";"-1";"0";"2014-06-10";"2014-06-29"
"815";"1950";"88";"couturière";"Besoin de modifier des robes, à couper et faire les bords...
Manteau, apporter des modifications...épaules et bords...";"-1";"0";"0";"2013-03-10";"2013-05-01"
"816";"2231";"86";"Toilettage des chiens";"Deux chiens, obéissants et sociables :)";"-1";"-1";"0";"2013-03-10";"2014-03-10"
"817";"2231";"86";"Cours de ballet pour enfants";"Veuillez me contacter dès que possible au 819 731-1307 :)";"-1";"-1";"0";"2013-03-10";"2014-03-10"
"818";"2231";"86";"Cours de natation pour enfants";"819 731-1307";"-1";"-1";"0";"2013-03-10";"2014-03-10"
"819";"2231";"86";"Ostéopathe";"Urgent : 819 731-1307";"-1";"-1";"0";"2013-03-10";"2014-03-10"
"820";"3913";"88";"Accompagnement pratique du tai-chi";"Débutante dans les styles Yang et Wushu, peu douée mais déterminée!Recherche partenaire expérimenté pour pratique la fds";"-1";"0";"0";"2013-03-11";"2014-02-11"
"821";"1814";"88";"Comptabilité / Plan d'affaires";"Personne avec expérience  de plans d'affaires et/ou comptabilité Européenne(Belgique ou France)";"-1";"0";"0";"2013-03-14";"2013-03-31"
"822";"1814";"88";"Comptabilité / Plan d'affaires";"Recherche accordeur-e avec expérience de prévisions comptables et plan d'affaires  pour la France ou la Belgique";"-1";"0";"0";"2013-03-14";"2013-03-31"
"823";"3573";"88";"Transfert de VHS à DVD";"J'aurais besoin d'un service de transfert d'une douzaine de cassettes VHS sur disque(s) DVD. ";"-1";"0";"0";"2013-03-14";"2013-05-14"
"824";"3573";"88";"Informatique bureautique";"J'aurais besoin d'un transfert de cassettes VHS sur disque DVD.";"-1";"0";"0";"2013-03-14";"2013-05-14"
"825";"2014";"88";"Transport pour gypse";"Bonjour! J'aurais besoin de quelqu'un avec un pick up ou van, pour aller acheter 8 feuilles de gypse au Rona Longueuil.";"-1";"0";"0";"2013-03-17";"2013-03-24"
"826";"2842";"88";"bricoleur";"
personne pour faire des petits travaux intérieurs.";"-1";"-1";"0";"2013-03-19";"2013-05-31"
"827";"3223";"88";"Demande d'aide pour déneiger une voiture";"J'ai besoin d'aide pour déneiger la voiture et la sortir du banc de neige.  J'ai des problèmes de dos.";"-1";"0";"0";"2013-03-20";"2013-03-22"
"828";"3946";"2";"Cherche accompagnement pour patiner";"Je n'ai jamais fait aucune sport de glisse : je cherche quelqu'un pouvant m'aider à patiner";"0";"-1";"0";"2013-03-20";"2013-04-20"
"829";"3946";"2";"Réparation charnière porte de four";"La porte de mon four ne tient plus d'un côté, j'aimerais de l'aide pour la refixer. Merci";"-1";"-1";"0";"2013-03-21";"2013-04-21"
"830";"2501";"2";"Recherche covoiturage Abitibi";"Recherche covoiturage de Québec pour l'Abitibi (Val d'Or) pour la fin mars et retour souhaité dans la même période.
";"-1";"-1";"0";"2013-03-21";"2013-04-12"
"831";"124";"2";"Aide pour Accroyoga";"c'est un nouveau yoga qui se fait à deux. A voir sur internet, se doit être super.";"-1";"-1";"0";"2016-02-14";"2016-07-14"
"832";"361";"2";"Aide branchement ";"Besoin d&#8217;aide pour le fonctionnement de son VHS et DVD depuis l&#8217;installation de la Fibre Optique sur la T.V. 
Si vous êtes capable d&#8217;arranger cela afin que la TV fonctionne avec le VHS et DVD, contactez moi";"-1";"-1";"0";"2013-03-21";"2013-03-26"
"833";"2763";"115";"nettoyer ma voiture";"J'aurais besoin d'aide pour nettoyer l'intérieur de ma voiture";"-1";"-1";"0";"2013-03-21";"2013-04-21"
"834";"3038";"92";"Cours de chant";"Cours de chant orienté sur la respiration et les vocalises";"-1";"-1";"0";"2013-03-24";"2013-06-14"
"835";"2895";"88";"aide pour déménagement";"Bonjour, 
Je cherche 1 à 2 personnes en forme avec ou sans véhicule pour m&#8217;aider à déménager quelques articles faciles à transporter (boites légères, chaises, petites tables, paravent, etc.)
Ce vendredi 29 mars de 10h à midi, secteur Verdun. Temps";"-1";"-1";"0";"2013-03-27";"2013-03-31"
"836";"3632";"2";"AIDE AU BRANCHEMENT TV-DECODEUR HD RGA";"J'AURAIS BESOIN D AIDE POUR EFFECTUER LE BRANCHEMENT TV-DECODEUR-OREILLE DE LAPIN POUR AVOIR LES CHAINES TV ";"-1";"-1";"0";"2013-04-08";"2013-04-27"
"837";"3847";"88";"Plan de cuisine pour rénovation";"Aide pour conception d'un plan pour optimiser l'espace de travail et de rangement d'une petite cuisine. Réno complète!";"-1";"0";"0";"2013-03-27";"2013-06-28"
"838";"3317";"2";"Aide à utilisation d&#8217;un GPS";"Je suis en « chicane » avec mon GPS. Je ne comprends pas son fonctionnement. Vous êtes adepte de ces outils de navigation ? Contactez moi
";"-1";"-1";"0";"2013-03-28";"2013-04-26"
"839";"3621";"2";"aide pour ouvrir ma roulotte";"roulotte a ste appolinaire a ouvrir debut mai...terrain a nettoyer, electricite a installer, toilette a reparer, etc";"0";"-1";"0";"2013-05-01";"2013-05-15"
"840";"3959";"88";"Création d'un blogue Wordpress";"Formation sur WordPress.";"-1";"-1";"0";"2013-04-07";"2014-03-29"
"841";"3954";"104";"104";"besoin de reparation de ventilateur de plafond";"-1";"0";"0";"2013-04-01";"2013-04-19"
"845";"3959";"88";"Aide pour peinturer appartement";"J'organise une corvée de peinture dans mon appartement. J'ai besoin de gens pour m'aider à peinturer. SVP";"-1";"-1";"0";"2013-04-07";"2013-12-31"
"842";"2842";"88";"aide avec Word";"aide pour travailller avec le Word";"-1";"-1";"0";"2013-04-03";"2013-06-03"
"843";"3913";"88";"Transport ou covoiturage de Hochelag vers centre-ville les matins de semaine";"Vers 8h30 les matins de semaine, pour l'hôpital St-Luc au centre-ville (je vis tout près de l'Accorderie)";"-1";"0";"0";"2013-04-03";"2013-11-03"
"844";"3050";"2";"Recherche modèle vivant femme enceinte pour photo ";"Recherche modèle vivant femme enceinte pour photos servant à illustrer mes services pour mon futur site internet de massothérapie périnatal
";"-1";"-1";"0";"2013-04-05";"2013-05-05"
"846";"2649";"2";"Louer une remorque pour vélo";"Nous cherchons une remorque pour faire du vélo avec notre bébé cet été. Nous le louerions quelques heures dans l'été.";"0";"-1";"0";"2013-04-08";"2013-07-08"
"847";"3971";"2";"Apprentissage du banjo";"J'aimerai apprendre le banjo. Vous connaissez la pratique de cet instrument, contacter moi. merci beaucoup! ";"-1";"-1";"0";"2013-04-10";"2013-07-06"
"848";"361";"2";"Aide transfère bande sonore cassette sur Cd";"Besoin d&#8217;aide pour transférer une bande sonore d'une cassette sur cd. Si vous vous y connaissez, contactez moi ";"-1";"-1";"0";"2013-04-10";"2013-05-08"
"849";"683";"2";"Réparation d'une sécheuse";"Je suis à la recherche d'une personne qui est en mesure de réparer une sécheuse (bering probablement à changer).";"-1";"-1";"0";"2013-04-16";"2013-05-24"
"850";"4005";"2";"Apprendre Espagnol Debutante";"J'aimerai apprendre une base d'Espagnol, je suis Flamande en passage pour une année, je parle bien Français, merci!";"0";"-1";"0";"2013-04-17";"2013-09-17"
"851";"4026";"2";"Initiation au filage sur rouet";"Cherche aide pour apprendre à filer la laine, j'ai un rouet en ma possession et quelques notions de base.";"-1";"-1";"0";"2013-04-22";"2014-05-22"
"852";"3774";"88";"cours de crochet";"Bonjour!  J'aimerais apprendre le crochet...  quelqu'un veut m'apprendre? :)";"-1";"0";"0";"2013-04-26";"2013-05-26"
"853";"3809";"2";"Mentorat entreprenarial";"Recherche un mentor expérimenté pour un projet d'entreprise en gestion d'artsites et d'événements.";"0";"-1";"0";"2013-04-26";"2013-12-21"
"854";"3731";"118";"GÎTE POUR MES 3 PONEYS";"TRÈS URGENT!  Recherche champs, boiséS près de la ville, eau à proximité avec abri ou arbres.  Merci  Linda";"-1";"-1";"0";"2013-04-29";"2013-05-11"
"855";"3242";"88";"ordinateur trop lent ???";"Mon ordinateur est trop lent j'aimerais qu'une personne qui s'y connait vienne y jeter un coup d'oeil .";"-1";"-1";"0";"2013-04-30";"2013-06-30"
"856";"3242";"88";"mon mur d'atelier se dégarnie de sa peinture";"j'aimerais avoir de l'aide pour préparer le mur de plâtre à peindre dans mon atelier et l'aide pour bouger les choses .";"-1";"-1";"0";"2013-04-30";"2013-06-30"
"857";"4052";"2";"Cuisine pour régime hypotoxique";"Je cherche quelqu'un pour cuisiner des plats selon le régime hypotoxique (sans gluten, sans produits laitiers, etc)";"-1";"-1";"0";"2013-05-02";"2013-07-23"
"858";"3731";"118";"DEMANDE DE GÎTE PONEYS COMBLÉE";"MERCI À CEUX QUI M'ONT CONTACTÉ AFIN DE M'AIDER DANS MA DEMANDE.  LE GÎTE POUR MES PONEYS EST MAINTENANT TROUVÉ.  ";"0";"-1";"0";"2013-05-03";"2013-05-03"
"859";"3731";"118";"DEMANDE COMBLÉE";"GÎTE POUR MES 3 PONEYS";"0";"-1";"0";"2013-05-03";"2013-05-03"
"860";"3892";"2";"Cherche Contreplaqué usagé ou neuf";"Bonjour, je cherche du contreplaqué pour mettre sur le toit d'un très vieux garage afin d'y installer un jardin. Merci. ";"0";"-1";"0";"2013-05-03";"2013-07-01"
"861";"3731";"118";"GÎTE POUR MES 3 PONEYS";"COMBLÉE  MERCI AUX ACCORDEURS(ES) QUI M'ONT CONTACTÉE";"0";"-1";"0";"2013-05-05";"2013-05-10"
"862";"4057";"109";"Chauffeu(se)r d'auto de Sherbrooke vers Montréal le 21 juin au soir";"J'ai une auto mais pas le permis.Je dois aller chercher mes parents à l'aéroport sans revenir à Sherbrooke le jour même";"-1";"-1";"0";"2013-05-06";"2013-06-20"
"863";"4062";"108";"rassembler une armoire";"armoire acheté chez bmr style rustique en bois de pin.
";"-1";"0";"0";"2013-05-08";"2013-05-31"
"864";"3877";"2";"Coiffure pour des tresses africaines";"Recherche une personne qui pourrait tresser les cheveux  de  sa fille de 5 ans.
";"-1";"-1";"0";"2013-05-09";"2013-07-09"
"865";"3242";"88";"mettre sur dvd les film de mon Ipod";"je ne suis pas arriver à faire
une copie sur dvd du spectacle de ma nièce filmer sur mon Ipod ...besoin d'aide.";"-1";"-1";"0";"2013-05-11";"2013-06-30"
"866";"2231";"86";"De l'aide pour déménagement avant décembre";"Veuillez me contacter au 450 899 - 0026, SVP.
:)";"-1";"-1";"0";"2013-11-20";"2014-06-14"
